epoch,CER,WER,learning_rate,loss,val_CER,val_WER,val_loss
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
1,1.1378823518753052,0.9976920485496521,0.0010000000474974513,341.41839599609375,1.130222201347351,0.997820258140564,304.6497497558594
2,1.0871539115905762,0.9980860948562622,0.0010000000474974513,293.4610595703125,1.0839259624481201,0.9981569647789001,283.71295166015625
3,1.0578285455703735,0.9985782504081726,0.0010000000474974513,277.2522277832031,1.0562222003936768,0.9986177086830139,270.9971923828125
4,1.044454574584961,0.9982165694236755,0.0010000000474974513,265.2427673339844,1.0434666872024536,0.9982562065124512,261.33624267578125
5,1.0346038341522217,0.9985194802284241,0.0010000000474974513,256.38592529296875,1.0339629650115967,0.9985468983650208,263.9512634277344
6,1.0266773700714111,0.9987344145774841,0.0010000000474974513,250.6074676513672,1.0262539386749268,0.9987545013427734,258.81610107421875
7,1.0192675590515137,0.9988948106765747,0.0010000000474974513,247.0001678466797,1.0189999341964722,0.9989101886749268,268.12109375
8,1.0148499011993408,0.9988875389099121,0.0010000000474974513,244.3372039794922,1.0146665573120117,0.9989013075828552,262.03692626953125
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
1,1.1378823518753052,0.9976920485496521,0.0010000000474974513,341.41839599609375,1.130222201347351,0.997820258140564,304.6497497558594
2,1.0871539115905762,0.9980860948562622,0.0010000000474974513,293.4610595703125,1.0839259624481201,0.9981569647789001,283.71295166015625
3,1.0578285455703735,0.9985782504081726,0.0010000000474974513,277.2522277832031,1.0562222003936768,0.9986177086830139,270.9971923828125
4,1.044454574584961,0.9982165694236755,0.0010000000474974513,265.2427673339844,1.0434666872024536,0.9982562065124512,261.33624267578125
5,1.0346038341522217,0.9985194802284241,0.0010000000474974513,256.38592529296875,1.0339629650115967,0.9985468983650208,263.9512634277344
6,1.0266773700714111,0.9987344145774841,0.0010000000474974513,250.6074676513672,1.0262539386749268,0.9987545013427734,258.81610107421875
7,1.0192675590515137,0.9988948106765747,0.0010000000474974513,247.0001678466797,1.0189999341964722,0.9989101886749268,268.12109375
8,1.0148499011993408,0.9988875389099121,0.0010000000474974513,244.3372039794922,1.0146665573120117,0.9989013075828552,262.03692626953125
9,1.0102696418762207,0.999000072479248,0.0010000000474974513,239.61962890625,1.0101555585861206,0.9990111589431763,244.3837432861328
10,1.0062447786331177,0.9990918636322021,0.0010000000474974513,239.1529541015625,1.0061817169189453,0.9991010427474976,254.58242797851562
11,1.002747654914856,0.999168336391449,0.0010000000474974513,235.66543579101562,1.002722144126892,0.999176025390625,271.94232177734375
12,1.0006723403930664,0.9991421699523926,0.0010000000474974513,238.41378784179688,1.000666618347168,0.9991495013237,257.16119384765625
13,0.9975838661193848,0.9992039203643799,0.0010000000474974513,236.8048858642578,0.9976030588150024,0.9992102384567261,250.6642608642578
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
1,1.1378823518753052,0.9976920485496521,0.0010000000474974513,341.41839599609375,1.130222201347351,0.997820258140564,304.6497497558594
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
1,1.1378823518753052,0.9976920485496521,0.0010000000474974513,341.41839599609375,1.130222201347351,0.997820258140564,304.6497497558594
2,1.0871539115905762,0.9980860948562622,0.0010000000474974513,293.4610595703125,1.0839259624481201,0.9981569647789001,283.71295166015625
3,1.0578285455703735,0.9985782504081726,0.0010000000474974513,277.2522277832031,1.0562222003936768,0.9986177086830139,270.9971923828125
4,1.044454574584961,0.9982165694236755,0.0010000000474974513,265.2427673339844,1.0434666872024536,0.9982562065124512,261.33624267578125
5,1.0346038341522217,0.9985194802284241,0.0010000000474974513,256.38592529296875,1.0339629650115967,0.9985468983650208,263.9512634277344
6,1.0266773700714111,0.9987344145774841,0.0010000000474974513,250.6074676513672,1.0262539386749268,0.9987545013427734,258.81610107421875
7,1.0192675590515137,0.9988948106765747,0.0010000000474974513,247.0001678466797,1.0189999341964722,0.9989101886749268,268.12109375
8,1.0148499011993408,0.9988875389099121,0.0010000000474974513,244.3372039794922,1.0146665573120117,0.9989013075828552,262.03692626953125
9,1.0102696418762207,0.999000072479248,0.0010000000474974513,239.61962890625,1.0101555585861206,0.9990111589431763,244.3837432861328
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
0,1.2929999828338623,0.9986842274665833,0.0010000000474974513,728.0012817382812,1.2604445219039917,0.9988304376602173,354.5635681152344
1,1.1378823518753052,0.9976920485496521,0.0010000000474974513,341.41839599609375,1.130222201347351,0.997820258140564,304.6497497558594
2,1.0871539115905762,0.9980860948562622,0.0010000000474974513,293.4610595703125,1.0839259624481201,0.9981569647789001,283.71295166015625
3,1.0578285455703735,0.9985782504081726,0.0010000000474974513,277.2522277832031,1.0562222003936768,0.9986177086830139,270.9971923828125
4,1.044454574584961,0.9982165694236755,0.0010000000474974513,265.2427673339844,1.0434666872024536,0.9982562065124512,261.33624267578125
5,1.0346038341522217,0.9985194802284241,0.0010000000474974513,256.38592529296875,1.0339629650115967,0.9985468983650208,263.9512634277344
6,1.0266773700714111,0.9987344145774841,0.0010000000474974513,250.6074676513672,1.0262539386749268,0.9987545013427734,258.81610107421875
7,1.0192675590515137,0.9988948106765747,0.0010000000474974513,247.0001678466797,1.0189999341964722,0.9989101886749268,268.12109375
8,1.0148499011993408,0.9988875389099121,0.0010000000474974513,244.3372039794922,1.0146665573120117,0.9989013075828552,262.03692626953125
9,1.0102696418762207,0.999000072479248,0.0010000000474974513,239.61962890625,1.0101555585861206,0.9990111589431763,244.3837432861328
10,1.0062447786331177,0.9990918636322021,0.0010000000474974513,239.1529541015625,1.0061817169189453,0.9991010427474976,254.58242797851562
